name1,name2,docs1,docs2,code1,code2,docs_score,code_score
euler_totient,euler_modified,euler_totient Time Complexity: O(sqrt(n)).,"euler_modified The Euler Method is straightforward to implement, but can't give accurate solutions.
So, some changes were proposed to improve accuracy.

https://en.wikipedia.org/wiki/Euler_method

Arguments:
ode_func -- The ode as a function of x and y
y0 -- the initial value for y
x0 -- the initial value for x
stepsize -- the increment value for x
x_end -- the end value for x

>>> # the exact solution is math.exp(x)
>>> def f1(x, y):
...     return -2*x*(y**2)
>>> y = euler_modified(f1, 1.0, 0.0, 0.2, 1.0)
>>> y[-1]
0.503338255442106
>>> import math
>>> def f2(x, y):
...     return -2*y + (x**3)*math.exp(-2*x)
>>> y = euler_modified(f2, 1.0, 0.0, 0.1, 0.3)
>>> y[-1]
0.5525976431951775","def euler_totient(n):
    """"""Euler's totient function or Phi function.
    Time Complexity: O(sqrt(n)).""""""
    result = n
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            while n % i == 0:
                n //= i
            result -= result // i
    if n > 1:
        result -= result // n
    return result","def euler_modified(ode_func: Callable, y0: float, x0: float, step_size: float, x_end: float) -> np.array:
    """"""
    Calculate solution at each step to an ODE using Euler's Modified Method
    The Euler Method is straightforward to implement, but can't give accurate solutions.
    So, some changes were proposed to improve accuracy.

    https://en.wikipedia.org/wiki/Euler_method

    Arguments:
    ode_func -- The ode as a function of x and y
    y0 -- the initial value for y
    x0 -- the initial value for x
    stepsize -- the increment value for x
    x_end -- the end value for x

    >>> # the exact solution is math.exp(x)
    >>> def f1(x, y):
    ...     return -2*x*(y**2)
    >>> y = euler_modified(f1, 1.0, 0.0, 0.2, 1.0)
    >>> y[-1]
    0.503338255442106
    >>> import math
    >>> def f2(x, y):
    ...     return -2*y + (x**3)*math.exp(-2*x)
    >>> y = euler_modified(f2, 1.0, 0.0, 0.1, 0.3)
    >>> y[-1]
    0.5525976431951775
    """"""
    n = int(np.ceil((x_end - x0) / step_size))
    y = np.zeros((n + 1,))
    y[0] = y0
    x = x0
    for k in range(n):
        y_get = y[k] + step_size * ode_func(x, y[k])
        y[k + 1] = y[k] + step_size / 2 * (ode_func(x, y[k]) + ode_func(x + step_size, y_get))
        x += step_size
    return y",0.5877029,0.16665305
base_to_int,base85_encode,base_to_int Note : You can use int() built-in function instead of this.,"base85_encode b''
>>> base85_encode(""12345"")
b'0etOA2#'
>>> base85_encode(""base 85"")
b'@UX=h+?24'","def base_to_int(str_to_convert, base):
    """"""
        Note : You can use int() built-in function instead of this.
        :type str_to_convert: str
        :type base: int
        :rtype: int
    """"""
    digit = {}
    for (ind, char) in enumerate(string.digits + string.ascii_uppercase):
        digit[char] = ind
    multiplier = 1
    res = 0
    for char in str_to_convert[::-1]:
        res += digit[char] * multiplier
        multiplier *= base
    return res","def base85_encode(string: str) -> bytes:
    """"""
    >>> base85_encode("""")
    b''
    >>> base85_encode(""12345"")
    b'0etOA2#'
    >>> base85_encode(""base 85"")
    b'@UX=h+?24'
    """"""
    return base64.a85encode(string.encode('utf-8'))",0.43436337,0.9397639
modular_exponential,naive_cut_rod_recursive,"modular_exponential Time complexity - O(log n)
Use similar to Python in-built function pow.","naive_cut_rod_recursive programming. The results is the same sub-problems are solved several times
leading to an exponential runtime

Runtime: O(2^n)

Arguments
-------
n: int, the length of the rod
prices: list, the prices for each piece of rod. ``p[i-i]`` is the
price for a rod of length ``i``","def modular_exponential(base, exponent, mod):
    """"""Computes (base ^ exponent) % mod.
    Time complexity - O(log n)
    Use similar to Python in-built function pow.""""""
    if exponent < 0:
        raise ValueError('Exponent must be positive.')
    base %= mod
    result = 1
    while exponent > 0:
        if exponent & 1:
            result = result * base % mod
        exponent = exponent >> 1
        base = base * base % mod
    return result","def naive_cut_rod_recursive(n: int, prices: list):
    """"""
    Solves the rod-cutting problem via naively without using the benefit of dynamic
    programming. The results is the same sub-problems are solved several times
    leading to an exponential runtime

    Runtime: O(2^n)

    Arguments
    -------
    n: int, the length of the rod
    prices: list, the prices for each piece of rod. ``p[i-i]`` is the
    price for a rod of length ``i``

    Returns
    -------
    The maximum revenue obtainable for a rod of length n given the list of prices
    for each piece.

    Examples
    --------
    >>> naive_cut_rod_recursive(4, [1, 5, 8, 9])
    10
    >>> naive_cut_rod_recursive(10, [1, 5, 8, 9, 10, 17, 17, 20, 24, 30])
    30
    """"""
    _enforce_args(n, prices)
    if n == 0:
        return 0
    max_revue = float('-inf')
    for i in range(1, n + 1):
        max_revue = max(max_revue, prices[i - 1] + naive_cut_rod_recursive(n - i, prices))
    return max_revue",0.5780429,0.00026073024
get_primes,sieve_er,get_primes Using sieve of Eratosthenes.,"sieve_er returns a list of prime numbers from 2 up to N.

This function implements the algorithm called
sieve of erathostenes.","def get_primes(n):
    """"""Return list of all primes less than n,
    Using sieve of Eratosthenes.
    """"""
    if n <= 0:
        raise ValueError(""'n' must be a positive integer."")
    sieve_size = n // 2 - 1 if n % 2 == 0 else n // 2
    sieve = [True for _ in range(sieve_size)]
    primes = []
    if n >= 2:
        primes.append(2)
    for i in range(sieve_size):
        if sieve[i]:
            value_at_i = i * 2 + 3
            primes.append(value_at_i)
            for j in range(i, sieve_size, value_at_i):
                sieve[j] = False
    return primes","def sieve_er(n):
    """"""
    input: positive integer 'N' > 2
    returns a list of prime numbers from 2 up to N.

    This function implements the algorithm called
    sieve of erathostenes.

    """"""
    assert isinstance(n, int) and n > 2, ""'N' must been an int and > 2""
    begin_list = list(range(2, n + 1))
    ans = []
    for i in range(len(begin_list)):
        for j in range(i + 1, len(begin_list)):
            if begin_list[i] != 0 and begin_list[j] % begin_list[i] == 0:
                begin_list[j] = 0
    ans = [x for x in begin_list if x != 0]
    assert isinstance(ans, list), ""'ans' must been from type list""
    return ans",0.62937474,0.98973304
power,combination_sum_iv,"power Calculate a ^ n
if mod is specified, return the result modulo mod

Time Complexity :  O(log(n))
Space Complexity : O(1)","combination_sum_iv of possible combination in exponential Time Complexity.

>>> combination_sum_iv(3, [1,2,5], 5)
9","def power(a: int, n: int, mod: int=None):
    """"""
    Iterative version of binary exponentiation

    Calculate a ^ n
    if mod is specified, return the result modulo mod

    Time Complexity :  O(log(n))
    Space Complexity : O(1)
    """"""
    ans = 1
    while n:
        if n & 1:
            ans = ans * a
        a = a * a
        if mod:
            ans %= mod
            a %= mod
        n >>= 1
    return ans","def combination_sum_iv(n: int, array: list[int], target: int) -> int:
    """"""
    Function checks the all possible combinations, and returns the count
    of possible combination in exponential Time Complexity.

    >>> combination_sum_iv(3, [1,2,5], 5)
    9
    """"""

    def count_of_possible_combinations(target: int) -> int:
        if target < 0:
            return 0
        if target == 0:
            return 1
        return sum((count_of_possible_combinations(target - item) for item in array))
    return count_of_possible_combinations(target)",0.54858106,0.00064074097
power_recur,_modexpt,"power_recur Calculate a ^ n
if mod is specified, return the result modulo mod

Time Complexity :  O(log(n))
Space Complexity : O(log(n))","_modexpt of `base ** exponent % modulo_value`, without calculating
the actual number.
>>> _modexpt(2, 4, 10)
6
>>> _modexpt(2, 1024, 100)
16
>>> _modexpt(13, 65535, 7)
6","def power_recur(a: int, n: int, mod: int=None):
    """"""
    Recursive version of binary exponentiation

    Calculate a ^ n
    if mod is specified, return the result modulo mod

    Time Complexity :  O(log(n))
    Space Complexity : O(log(n))
    """"""
    if n == 0:
        ans = 1
    elif n == 1:
        ans = a
    else:
        ans = power_recur(a, n // 2, mod)
        ans = ans * ans
        if n % 2:
            ans = ans * a
    if mod:
        ans %= mod
    return ans","def _modexpt(base: int, exponent: int, modulo_value: int) -> int:
    """"""
    Returns the modular exponentiation, that is the value
    of `base ** exponent % modulo_value`, without calculating
    the actual number.
    >>> _modexpt(2, 4, 10)
    6
    >>> _modexpt(2, 1024, 100)
    16
    >>> _modexpt(13, 65535, 7)
    6
    """"""
    if exponent == 1:
        return base
    if exponent % 2 == 0:
        x = _modexpt(base, exponent // 2, modulo_value) % modulo_value
        return x * x % modulo_value
    else:
        return base * _modexpt(base, exponent - 1, modulo_value) % modulo_value",0.60453755,0.99979264
lcm,lcm,lcm Computes the lowest common multiple of integers a and b.,"lcm Using the property that lcm(a, b) * greatest_common_divisor(a, b) = a*b

>>> lcm(3, 15)
15
>>> lcm(1, 27)
27
>>> lcm(13, 27)
351
>>> lcm(64, 48)
192","def lcm(a, b):
    """"""Computes the lowest common multiple of integers a and b.""""""
    return abs(a) * abs(b) / gcd(a, b)","def lcm(x: int, y: int) -> int:
    """"""
    Least Common Multiple.

    Using the property that lcm(a, b) * greatest_common_divisor(a, b) = a*b

    >>> lcm(3, 15)
    15
    >>> lcm(1, 27)
    27
    >>> lcm(13, 27)
    351
    >>> lcm(64, 48)
    192
    """"""
    return x * y // greatest_common_divisor(x, y)",0.7591141,0.98999864
gcd_bit,get_bitcode,gcd_bit Similar to gcd but uses bitwise operators and less error handling.,get_bitcode Return bitcode of distinct_edge,"def gcd_bit(a, b):
    """""" Similar to gcd but uses bitwise operators and less error handling.""""""
    tza = trailing_zero(a)
    tzb = trailing_zero(b)
    a >>= tza
    b >>= tzb
    while b:
        if a < b:
            (a, b) = (b, a)
        a -= b
        a >>= trailing_zero(a)
    return a << min(tza, tzb)","def get_bitcode(edge_array, distinct_edge):
    """"""
    Return bitcode of distinct_edge
    """"""
    bitcode = ['0'] * len(edge_array)
    for (i, row) in enumerate(edge_array):
        for item in row:
            if distinct_edge in item[0]:
                bitcode[i] = '1'
                break
    return ''.join(bitcode)",0.5387185,0.17792445
find_next_square2,check1,"find_next_square2 Alternative method, works by evaluating anything non-zero as True (0.000001 --> True) ","check1 >>> check1(123456789987654321)
True

>>> check1(120000987654321)
True

>>> check1(12345678957656779870004321)
False","def find_next_square2(sq):
    """""" Alternative method, works by evaluating anything non-zero as True (0.000001 --> True) """"""
    root = sq ** 0.5
    return -1 if root % 1 else (root + 1) ** 2","def check1(number: int) -> bool:
    """"""
    Takes a number and checks if it is pandigital from END

    >>> check1(123456789987654321)
    True

    >>> check1(120000987654321)
    True

    >>> check1(12345678957656779870004321)
    False

    """"""
    check_last = [0] * 11
    for _ in range(9):
        check_last[int(number % 10)] = 1
        number = number // 10
    f = True
    for x in range(9):
        if not check_last[x + 1]:
            f = False
    return f",0.60009545,6.393112e-05
gen_strobogrammatic,line_length,"gen_strobogrammatic Given n, generate all strobogrammatic numbers of length n.",line_length sequence of linear lines and summing their lengths,"def gen_strobogrammatic(n):
    """"""
    Given n, generate all strobogrammatic numbers of length n.
    :type n: int
    :rtype: List[str]
    """"""
    return helper(n, n)","def line_length(fnc: Callable[[int | float], int | float], x_start: int | float, x_end: int | float, steps: int=100) -> float:
    """"""
    Approximates the arc length of a line segment by treating the curve as a
    sequence of linear lines and summing their lengths
    :param fnc: a function which defines a curve
    :param x_start: left end point to indicate the start of line segment
    :param x_end: right end point to indicate end of line segment
    :param steps: an accuracy gauge; more steps increases accuracy
    :return: a float representing the length of the curve

    >>> def f(x):
    ...    return x
    >>> f""{line_length(f, 0, 1, 10):.6f}""
    '1.414214'

    >>> def f(x):
    ...    return 1
    >>> f""{line_length(f, -5.5, 4.5):.6f}""
    '10.000000'

    >>> def f(x):
    ...    return math.sin(5 * x) + math.cos(10 * x) + x * x/10
    >>> f""{line_length(f, 0.0, 10.0, 10000):.6f}""
    '69.534930'
    """"""
    x1 = x_start
    fx1 = fnc(x_start)
    length = 0.0
    for _ in range(steps):
        x2 = (x_end - x_start) / steps + x1
        fx2 = fnc(x2)
        length += math.hypot(x2 - x1, fx2 - fx1)
        x1 = x2
        fx1 = fx2
    return length",0.57769495,0.20138626
recursive_binomial_coefficient,binomial_coefficient,"recursive_binomial_coefficient Time complexity is O(k), so can calculate fairly quickly for large values of k.

>>> recursive_binomial_coefficient(5,0)
1

>>> recursive_binomial_coefficient(8,2)
28

>>> recursive_binomial_coefficient(500,300)
5054949849935535817667719165973249533761635252733275327088189563256013971725761702359997954491403585396607971745777019273390505201262259748208640","binomial_coefficient https://en.wikipedia.org/wiki/Binomial_coefficient
C(n,k) = n! / k!(n-k)!","def recursive_binomial_coefficient(n, k):
    """"""Calculates the binomial coefficient, C(n,k), with n>=k using recursion
    Time complexity is O(k), so can calculate fairly quickly for large values of k.

    >>> recursive_binomial_coefficient(5,0)
    1

    >>> recursive_binomial_coefficient(8,2)
    28

    >>> recursive_binomial_coefficient(500,300)
    5054949849935535817667719165973249533761635252733275327088189563256013971725761702359997954491403585396607971745777019273390505201262259748208640

    """"""
    if k > n:
        raise ValueError('Invalid Inputs, ensure that n >= k')
    if k == 0 or n == k:
        return 1
    if k > n / 2:
        return recursive_binomial_coefficient(n, n - k)
    return int(n / k * recursive_binomial_coefficient(n - 1, k - 1))","def binomial_coefficient(n: int, k: int) -> int:
    """"""
    Since Here we Find the Binomial Coefficient:
    https://en.wikipedia.org/wiki/Binomial_coefficient
    C(n,k) = n! / k!(n-k)!
    :param n: 2 times of Number of nodes
    :param k: Number of nodes
    :return:  Integer Value

    >>> binomial_coefficient(4, 2)
    6
    """"""
    result = 1
    if k > n - k:
        k = n - k
    for i in range(k):
        result *= n - i
        result //= i + 1
    return result",0.6154336,0.99876773
